country,year,size_predicted_lower,size_predicted_median,size_predicted_upper,scenario,area_to_burn.1,area_to_burn.2,area_to_burn.3,area_to_burn.4,area_to_burn.5,model
Sweden,2035,63.4313054,569.8394704,7066.756253,SSP5-8.5,3161.431,3834.431,4267.431,6903.431,6514.431,MPI-ESM1-2-LR
Germany,2036,14.79784342,196.6322137,3943.177663,SSP5-8.5,967.798,218.798,876.798,3646.798,1105.798,MPI-ESM1-2-LR
Spain,2036,4070.568119,51096.29894,815846.7409,SSP5-8.5,224019.568,290791.568,321625.568,115627.568,801923.568,MPI-ESM1-2-LR
Sweden,2036,65.58681435,556.8083524,7368.212249,SSP5-8.5,5340.587,4863.587,5083.587,4444.587,3959.587,MPI-ESM1-2-LR
Germany,2037,14.56108875,208.0420022,3132.602036,SSP5-8.5,2580.561,2039.561,2770.561,1015.561,1351.561,MPI-ESM1-2-LR
Spain,2037,4812.538889,59580.88325,850588.8235,SSP5-8.5,111883.539,384422.539,253513.539,16400.539,207642.539,MPI-ESM1-2-LR
Sweden,2037,45.58210487,409.0652464,4927.092733,SSP5-8.5,2683.582,1385.582,3489.582,1612.582,4464.582,MPI-ESM1-2-LR
Germany,2038,14.70100389,192.098721,3419.554922,SSP5-8.5,2576.701,152.701,2631.701,3123.701,797.701,MPI-ESM1-2-LR
Spain,2038,5133.643516,63111.87806,1085669.278,SSP5-8.5,75440.644,340669.644,804913.644,769595.644,984824.644,MPI-ESM1-2-LR
Sweden,2038,49.07795246,430.0523723,5693.498071,SSP5-8.5,5230.078,3843.078,2039.078,3660.078,3587.078,MPI-ESM1-2-LR
Germany,2039,14.83837669,193.14889,3562.715308,SSP5-8.5,801.838,3475.838,2527.838,1268.838,596.838,MPI-ESM1-2-LR
Spain,2039,5041.916643,65570.34955,1040579.426,SSP5-8.5,1021927.917,624766.917,784537.917,209516.917,96693.917,MPI-ESM1-2-LR
Sweden,2039,51.2896728,440.4071761,5348.857645,SSP5-8.5,3527.29,2977.29,4949.29,2641.29,4999.29,MPI-ESM1-2-LR
Germany,2040,14.06226031,187.1123398,3336.63471,SSP5-8.5,2086.062,3005.062,2154.062,119.062,1746.062,MPI-ESM1-2-LR
Spain,2040,4886.866531,61141.33471,975707.7089,SSP5-8.5,195822.867,443233.867,519377.867,483439.867,792475.867,MPI-ESM1-2-LR
Sweden,2040,49.01768996,448.949167,5924.233887,SSP5-8.5,815.018,5136.018,3114.018,5461.018,3974.018,MPI-ESM1-2-LR
Germany,2041,23.16011707,298.9698228,4398.174912,SSP5-8.5,397.16,3667.16,3639.16,635.16,748.16,MPI-ESM1-2-LR
Spain,2041,4574.721838,58566.00814,825811.4881,SSP5-8.5,786560.722,196895.722,429100.722,166640.722,306431.722,MPI-ESM1-2-LR
Sweden,2041,53.59764964,512.0067694,6214.271364,SSP5-8.5,5767.598,5930.598,1688.598,521.598,4238.598,MPI-ESM1-2-LR
Germany,2042,21.7105271,301.2033484,4866.248885,SSP5-8.5,2089.711,4210.711,579.711,4605.711,4727.711,MPI-ESM1-2-LR
Spain,2042,5020.361829,58927.65893,860579.8782,SSP5-8.5,138325.362,60462.362,141263.362,683340.362,9959.362,MPI-ESM1-2-LR
Sweden,2042,59.29291565,509.6448643,6516.720707,SSP5-8.5,1071.293,4681.293,2592.293,4502.293,995.293,MPI-ESM1-2-LR
Germany,2043,27.52822363,339.0025249,5011.376567,SSP5-8.5,3950.528,2700.528,594.528,365.528,3425.528,MPI-ESM1-2-LR
Spain,2043,6151.407581,86538.91657,1559677.929,SSP5-8.5,112213.408,563033.408,1174104.408,1257864.408,190529.408,MPI-ESM1-2-LR
Sweden,2043,60.35446344,512.4991058,6195.559375,SSP5-8.5,4421.354,3403.354,2938.354,6074.354,5016.354,MPI-ESM1-2-LR
Germany,2044,26.88182184,301.5796883,5242.887177,SSP5-8.5,869.882,718.882,4027.882,2168.882,4094.882,MPI-ESM1-2-LR
Spain,2044,6525.47706,91501.28331,1486778.929,SSP5-8.5,1062326.477,414694.477,1007749.477,831260.477,52312.477,MPI-ESM1-2-LR
Sweden,2044,41.24772815,346.484987,4074.297461,SSP5-8.5,3610.248,1269.248,1957.248,743.248,3719.248,MPI-ESM1-2-LR
Germany,2045,21.22879104,297.1503792,4622.628261,SSP5-8.5,4552.229,325.229,2755.229,607.229,298.229,MPI-ESM1-2-LR
Spain,2045,6930.590073,89851.2307,1555665.196,SSP5-8.5,279238.59,1377831.59,684888.59,938531.59,316404.59,MPI-ESM1-2-LR
Sweden,2045,43.94739101,401.237925,5280.051876,SSP5-8.5,196.947,2032.947,5242.947,4317.947,3247.947,MPI-ESM1-2-LR
Germany,2046,24.6989618,295.7491162,4850.80793,SSP5-8.5,3361.699,2639.699,911.699,3190.699,3346.699,MPI-ESM1-2-LR
Spain,2046,4776.762885,53669.04956,865713.2012,SSP5-8.5,472066.763,534432.763,13240.763,190590.763,584211.763,MPI-ESM1-2-LR
Sweden,2046,70.83228637,636.4627874,7747.541254,SSP5-8.5,2755.832,1611.832,7014.832,568.832,4709.832,MPI-ESM1-2-LR
Germany,2047,22.45668025,277.0609969,4839.543205,SSP5-8.5,1273.457,1822.457,940.457,3520.457,4777.457,MPI-ESM1-2-LR
Spain,2047,4830.271767,60692.82903,905964.8314,SSP5-8.5,253845.272,203664.272,234325.272,434750.272,137732.272,MPI-ESM1-2-LR
Sweden,2047,69.59644252,666.248191,7527.399278,SSP5-8.5,3453.596,1033.596,6373.596,2582.596,4176.596,MPI-ESM1-2-LR
Germany,2048,18.63768146,249.8438076,4805.023264,SSP5-8.5,233.638,2714.638,2065.638,1767.638,4107.638,MPI-ESM1-2-LR
Spain,2048,4993.489495,59456.20702,938531.2569,SSP5-8.5,382001.489,285515.489,460736.489,520990.489,853332.489,MPI-ESM1-2-LR
Sweden,2048,64.91645895,601.1736614,7699.271048,SSP5-8.5,3145.916,6741.916,6488.916,5923.916,4629.916,MPI-ESM1-2-LR
Germany,2049,12.91086577,187.5835716,4015.317865,SSP5-8.5,2724.911,1520.911,309.911,2306.911,452.911,MPI-ESM1-2-LR
Spain,2049,5186.625228,64799.50209,971861.8832,SSP5-8.5,162485.625,192388.625,829820.625,931869.625,81925.625,MPI-ESM1-2-LR
Sweden,2049,52.79189151,427.5737979,6109.355015,SSP5-8.5,920.792,3952.792,5228.792,1363.792,888.792,MPI-ESM1-2-LR
Germany,2050,15.70099403,219.9159884,3808.153706,SSP5-8.5,2112.701,1595.701,738.701,969.701,2268.701,MPI-ESM1-2-LR
Spain,2050,4701.744,56393.92176,897507.4754,SSP5-8.5,560810.744,527693.744,298132.744,830323.744,624888.744,MPI-ESM1-2-LR
Sweden,2050,46.64851284,435.3446911,4808.964798,SSP5-8.5,3546.649,2630.649,1341.649,886.649,3313.649,MPI-ESM1-2-LR
Germany,2051,18.55864113,215.2488346,3514.632115,SSP5-8.5,1430.559,3021.559,698.559,2329.559,2653.559,MPI-ESM1-2-LR
Spain,2051,5480.700473,69221.09537,1040569.594,SSP5-8.5,32353.7,900225.7,133111.7,216839.7,956164.7,MPI-ESM1-2-LR
Sweden,2051,46.93719767,409.6310984,5514.561928,SSP5-8.5,5456.937,1753.937,3528.937,1201.937,3045.937,MPI-ESM1-2-LR
Germany,2052,38.39392599,501.4680589,8499.289459,SSP5-8.5,4728.394,5774.394,4661.394,8434.394,7801.394,MPI-ESM1-2-LR
Spain,2052,6494.337405,85650.03314,1335662.392,SSP5-8.5,1229736.337,299009.337,1020491.337,575481.337,766083.337,MPI-ESM1-2-LR
Sweden,2052,61.76461749,579.2760871,7235.750668,SSP5-8.5,3674.765,1906.765,2706.765,5502.765,1235.765,MPI-ESM1-2-LR
Germany,2053,39.26771924,505.6564034,8339.80073,SSP5-8.5,3754.268,1848.268,2965.268,4162.268,1080.268,MPI-ESM1-2-LR
Spain,2053,6147.32465,83077.47023,1312663.863,SSP5-8.5,683698.325,98905.325,250649.325,93992.325,101168.325,MPI-ESM1-2-LR
Sweden,2053,64.79878147,556.8584104,6549.601679,SSP5-8.5,3062.799,3448.799,6280.799,3197.799,2846.799,MPI-ESM1-2-LR
Germany,2054,38.18451502,495.4204637,7417.528272,SSP5-8.5,5908.185,6733.185,141.185,287.185,2253.185,MPI-ESM1-2-LR
Spain,2054,6075.604705,78626.26365,1362332.413,SSP5-8.5,589777.605,1070849.605,758529.605,1032174.605,1166163.605,MPI-ESM1-2-LR
Sweden,2054,66.91255365,617.4545396,7815.751305,SSP5-8.5,7366.913,6505.913,5420.913,4106.913,2276.913,MPI-ESM1-2-LR
Germany,2055,29.02155065,382.6562932,6503.662642,SSP5-8.5,3609.022,4545.022,1647.022,2368.022,1991.022,MPI-ESM1-2-LR
Spain,2055,5714.522637,78557.96223,1301695.269,SSP5-8.5,187146.523,532951.523,161509.523,138701.523,723127.523,MPI-ESM1-2-LR
Sweden,2055,68.23029118,648.7806575,6886.283051,SSP5-8.5,3021.23,891.23,6635.23,4627.23,6245.23,MPI-ESM1-2-LR
Germany,2056,28.78475196,368.3067139,5733.290104,SSP5-8.5,3157.785,5030.785,3620.785,1539.785,1868.785,MPI-ESM1-2-LR
Spain,2056,5661.89662,75797.95475,1235188.754,SSP5-8.5,938141.897,1066229.897,177698.897,458711.897,867598.897,MPI-ESM1-2-LR
Sweden,2056,72.99822059,633.9189621,7326.281698,SSP5-8.5,1992.998,5124.998,6667.998,5637.998,1622.998,MPI-ESM1-2-LR
Germany,2057,26.96230598,339.5635776,5284.783933,SSP5-8.5,84.962,713.962,5097.962,2146.962,1374.962,MPI-ESM1-2-LR
Spain,2057,6052.491372,77951.31675,1335217.029,SSP5-8.5,486682.491,557241.491,401591.491,1150991.491,961513.491,MPI-ESM1-2-LR
Sweden,2057,61.1591118,572.0831818,6919.256621,SSP5-8.5,5213.159,6359.159,4194.159,145.159,1172.159,MPI-ESM1-2-LR
Germany,2058,26.64724221,352.3339851,5412.558463,SSP5-8.5,3012.647,4111.647,4893.647,1592.647,888.647,MPI-ESM1-2-LR
Spain,2058,5253.390035,70487.66448,1134506.719,SSP5-8.5,389554.39,880079.39,322202.39,1069205.39,975778.39,MPI-ESM1-2-LR
Sweden,2058,57.98341047,564.434901,6770.498426,SSP5-8.5,6299.983,3841.983,1295.983,4828.983,273.983,MPI-ESM1-2-LR
Germany,2059,29.80752386,360.9480649,5108.273452,SSP5-8.5,4548.808,2654.808,587.808,721.808,4722.808,MPI-ESM1-2-LR
Spain,2059,5483.038919,70606.49171,1212054.118,SSP5-8.5,52703.039,445473.039,1179793.039,804624.039,297033.039,MPI-ESM1-2-LR
Sweden,2059,68.22636632,651.0749903,7798.88861,SSP5-8.5,5466.226,7788.226,5599.226,1082.226,4129.226,MPI-ESM1-2-LR
Germany,2060,33.65992819,388.155681,5255.596407,SSP5-8.5,3624.66,2268.66,1709.66,1602.66,4877.66,MPI-ESM1-2-LR
Spain,2060,6489.226743,95301.26658,1617635.639,SSP5-8.5,677040.227,1347752.227,826360.227,1515641.227,45053.227,MPI-ESM1-2-LR
Sweden,2060,75.84777173,626.968018,7654.974354,SSP5-8.5,2792.848,2949.848,3104.848,7485.848,843.848,MPI-ESM1-2-LR
Germany,2061,28.71990795,320.6050332,5623.574561,SSP5-8.5,1397.72,4316.72,3255.72,1218.72,5422.72,MPI-ESM1-2-LR
Spain,2061,6684.928103,96532.32638,1538849.726,SSP5-8.5,786798.928,64068.928,1461781.928,824867.928,60692.928,MPI-ESM1-2-LR
Sweden,2061,71.08795727,627.4819284,8414.938749,SSP5-8.5,2862.088,7472.088,1422.088,2568.088,7234.088,MPI-ESM1-2-LR
Germany,2062,29.30714492,346.0832153,5452.801819,SSP5-8.5,2404.307,1900.307,4404.307,789.307,971.307,MPI-ESM1-2-LR
Spain,2062,7106.467195,94685.21468,1521352.189,SSP5-8.5,1373091.467,34414.467,760900.467,414840.467,205194.467,MPI-ESM1-2-LR
Sweden,2062,65.58183252,529.3410317,6254.136182,SSP5-8.5,1093.582,5102.582,242.582,2749.582,2551.582,MPI-ESM1-2-LR
Germany,2063,21.20289086,262.9556572,4273.479056,SSP5-8.5,1831.203,1749.203,3572.203,2883.203,3602.203,MPI-ESM1-2-LR
Spain,2063,5723.460793,78127.79514,1263524.03,SSP5-8.5,757610.461,700241.461,757660.461,377571.461,420869.461,MPI-ESM1-2-LR
Sweden,2063,71.42743124,641.4070239,8153.938041,SSP5-8.5,7599.427,4733.427,5774.427,7793.427,1963.427,MPI-ESM1-2-LR
Germany,2064,20.18750316,256.6403024,4634.621626,SSP5-8.5,1962.188,891.188,35.188,3159.188,3166.188,MPI-ESM1-2-LR
Spain,2064,6840.548548,93148.23343,1620812.716,SSP5-8.5,882350.549,690911.549,519375.549,1393310.549,777389.549,MPI-ESM1-2-LR
Sweden,2064,72.40091804,635.0329825,7564.852187,SSP5-8.5,2109.401,463.401,1892.401,512.401,2293.401,MPI-ESM1-2-LR
Germany,2065,21.41178176,254.4669087,4810.316561,SSP5-8.5,1634.412,1516.412,668.412,2570.412,4169.412,MPI-ESM1-2-LR
Spain,2065,6630.255677,92742.94376,1568258.102,SSP5-8.5,1311957.256,660903.256,841304.256,779636.256,1415934.256,MPI-ESM1-2-LR
Sweden,2065,72.82359907,633.4084213,8444.602837,SSP5-8.5,1913.824,7279.824,4447.824,4755.824,2694.824,MPI-ESM1-2-LR
Germany,2066,17.37161548,227.4286648,4368.436094,SSP5-8.5,1771.372,1996.372,2131.372,3817.372,3700.372,MPI-ESM1-2-LR
Spain,2066,6445.980973,91636.99379,1703947.169,SSP5-8.5,1307838.981,1130924.981,378457.981,581187.981,40441.981,MPI-ESM1-2-LR
Sweden,2066,42.52540477,389.9511543,5019.042629,SSP5-8.5,833.525,3878.525,1530.525,3652.525,4221.525,MPI-ESM1-2-LR
Germany,2067,17.70754694,229.605968,4143.426242,SSP5-8.5,1985.708,3077.708,3370.708,696.708,3898.708,MPI-ESM1-2-LR
Spain,2067,5600.623876,71243.33273,1082727.557,SSP5-8.5,64053.624,298903.624,585991.624,398023.624,355965.624,MPI-ESM1-2-LR
Sweden,2067,46.21358499,431.643444,6541.867409,SSP5-8.5,5806.214,5042.214,1642.214,1570.214,257.214,MPI-ESM1-2-LR
Germany,2068,30.18870917,347.6218548,6578.822878,SSP5-8.5,4562.189,1425.189,4487.189,62.189,6065.189,MPI-ESM1-2-LR
Spain,2068,5590.776994,75311.26739,1434359.247,SSP5-8.5,1300788.777,589252.777,798118.777,1256303.777,17706.777,MPI-ESM1-2-LR
Sweden,2068,51.90728824,472.6307957,5997.34625,SSP5-8.5,2916.907,310.907,1514.907,1916.907,686.907,MPI-ESM1-2-LR
Germany,2069,28.97760838,347.3676341,5689.238358,SSP5-8.5,1376.978,5541.978,5048.978,3795.978,341.978,MPI-ESM1-2-LR
Spain,2069,6753.710114,80279.66192,1369881.153,SSP5-8.5,132173.71,119750.71,295820.71,943545.71,905387.71,MPI-ESM1-2-LR
Sweden,2069,53.76080113,511.1971015,7305.054605,SSP5-8.5,6907.761,799.761,802.761,5283.761,4976.761,MPI-ESM1-2-LR
Germany,2070,35.17362145,463.7275502,7124.89481,SSP5-8.5,6198.174,5050.174,96.174,3753.174,2075.174,MPI-ESM1-2-LR
Spain,2070,5445.976853,76577.35305,1239181.023,SSP5-8.5,976462.977,992031.977,307477.977,742937.977,1225844.977,MPI-ESM1-2-LR
Sweden,2070,68.41832469,650.4044907,8658.079025,SSP5-8.5,5552.418,3779.418,7119.418,363.418,8572.418,MPI-ESM1-2-LR
Germany,2071,40.74839989,482.4369251,6373.912395,SSP5-8.5,4212.748,5141.748,2868.748,3671.748,4006.748,MPI-ESM1-2-LR
Spain,2071,6062.375768,82968.83357,1463068.701,SSP5-8.5,1022076.376,1208262.376,52397.376,13939.376,1357193.376,MPI-ESM1-2-LR
Sweden,2071,76.78612484,672.0122905,7411.616817,SSP5-8.5,4274.786,6908.786,1137.786,6142.786,1910.786,MPI-ESM1-2-LR
Germany,2072,38.08865871,496.8948529,7875.158665,SSP5-8.5,4970.089,1538.089,4072.089,5291.089,4525.089,MPI-ESM1-2-LR
Spain,2072,6269.416472,81084.01779,1416003.262,SSP5-8.5,835379.416,495284.416,1411005.416,920049.416,937392.416,MPI-ESM1-2-LR
Sweden,2072,70.75194758,632.7672284,7323.40925,SSP5-8.5,3567.752,6386.752,1938.752,5094.752,1093.752,MPI-ESM1-2-LR
Germany,2073,25.376076,321.6770421,5197.190449,SSP5-8.5,1533.376,3062.376,2039.376,4672.376,2172.376,MPI-ESM1-2-LR
Spain,2073,5735.64732,74947.64837,1226913.762,SSP5-8.5,890700.647,792724.647,365459.647,578919.647,825196.647,MPI-ESM1-2-LR
Sweden,2073,56.99997993,521.9862801,6439.837198,SSP5-8.5,4061,4008,384,337,1718,MPI-ESM1-2-LR
Germany,2074,22.54684488,304.990897,5655.981669,SSP5-8.5,4263.547,3590.547,2630.547,1255.547,3916.547,MPI-ESM1-2-LR
Spain,2074,6082.483387,78149.07574,1266304.007,SSP5-8.5,1088155.483,805009.483,1138892.483,138478.483,851056.483,MPI-ESM1-2-LR
Sweden,2074,58.05983452,481.0014864,6094.681495,SSP5-8.5,4646.06,1834.06,575.06,4230.06,4813.06,MPI-ESM1-2-LR
Germany,2075,27.47414731,345.3805422,4889.825286,SSP5-8.5,4598.474,206.474,3463.474,4242.474,152.474,MPI-ESM1-2-LR
Spain,2075,6378.406972,78413.94577,1155463.715,SSP5-8.5,148315.407,191798.407,838231.407,952897.407,566632.407,MPI-ESM1-2-LR
Sweden,2075,66.06524729,548.0267103,7315.849147,SSP5-8.5,4053.065,1040.065,5631.065,6067.065,5643.065,MPI-ESM1-2-LR
Germany,2076,33.66083341,404.5664373,6712.877755,SSP5-8.5,697.661,3738.661,2913.661,1494.661,2668.661,MPI-ESM1-2-LR
Spain,2076,5990.07669,75804.13712,1192569.54,SSP5-8.5,853215.077,142890.077,385845.077,1064526.077,92172.077,MPI-ESM1-2-LR
Sweden,2076,84.85468548,761.9242434,9838.915446,SSP5-8.5,7164.855,7770.855,4188.855,9767.855,2054.855,MPI-ESM1-2-LR
Germany,2077,29.71252911,373.9190825,5973.876938,SSP5-8.5,5345.713,1262.713,5562.713,86.713,3445.713,MPI-ESM1-2-LR
Spain,2077,7109.012531,99805.84343,1640556.953,SSP5-8.5,1424437.013,1244725.013,217543.013,1466124.013,481079.013,MPI-ESM1-2-LR
Sweden,2077,83.71740433,763.1172211,10259.50487,SSP5-8.5,5039.717,1965.717,5956.717,5116.717,9721.717,MPI-ESM1-2-LR
Germany,2078,50.15751419,753.5757292,15763.36425,SSP5-8.5,10205.158,4042.158,474.158,11336.158,12799.158,MPI-ESM1-2-LR
Spain,2078,9526.720003,138777.5973,2697595.728,SSP5-8.5,823264.72,922441.72,1408044.72,1632841.72,1910848.72,MPI-ESM1-2-LR
Sweden,2078,89.33933773,762.2744655,8809.341191,SSP5-8.5,8189.339,4924.339,388.339,3416.339,7748.339,MPI-ESM1-2-LR
Germany,2079,50.16122825,667.6370627,13796.39387,SSP5-8.5,1342.161,10604.161,13466.161,9636.161,3435.161,MPI-ESM1-2-LR
Spain,2079,9345.512847,147656.6954,2888116.416,SSP5-8.5,1905979.513,1916787.513,130325.513,2450094.513,556709.513,MPI-ESM1-2-LR
Sweden,2079,50.82589082,462.3594947,5331.007921,SSP5-8.5,3692.826,898.826,2348.826,847.826,3735.826,MPI-ESM1-2-LR
Germany,2080,46.13316582,639.8472795,14757.33886,SSP5-8.5,5376.133,3600.133,10776.133,10578.133,3110.133,MPI-ESM1-2-LR
Spain,2080,9217.222744,148940.3675,2824162.04,SSP5-8.5,2421305.223,2510333.223,1605232.223,2536039.223,427869.223,MPI-ESM1-2-LR
Sweden,2080,49.12539128,441.7820779,5578.272576,SSP5-8.5,4703.125,419.125,4321.125,3906.125,4355.125,MPI-ESM1-2-LR
Germany,2081,27.14855809,379.6977771,6283.077777,SSP5-8.5,3560.149,865.149,846.149,1161.149,5455.149,MPI-ESM1-2-LR
Spain,2081,7189.672836,117816.1084,1962538.493,SSP5-8.5,229233.673,1373432.673,834283.673,1703423.673,1355127.673,MPI-ESM1-2-LR
Sweden,2081,56.93647293,521.2591891,6759.806545,SSP5-8.5,1750.936,4245.936,3464.936,6472.936,1135.936,MPI-ESM1-2-LR
Germany,2082,34.53098209,395.7919209,5137.221352,SSP5-8.5,4174.531,3056.531,2156.531,2489.531,4566.531,MPI-ESM1-2-LR
Spain,2082,6937.68418,94861.49781,1612470.699,SSP5-8.5,327599.684,841287.684,580742.684,1183020.684,521525.684,MPI-ESM1-2-LR
Sweden,2082,58.07689385,541.7960552,6681.320884,SSP5-8.5,2661.077,3096.077,3820.077,6223.077,1393.077,MPI-ESM1-2-LR
Germany,2083,31.86427374,397.798536,6270.456184,SSP5-8.5,2651.864,1019.864,583.864,4398.864,4361.864,MPI-ESM1-2-LR
Spain,2083,7230.272394,100092.1829,1592860.016,SSP5-8.5,1382849.272,1454998.272,359813.272,1516333.272,1226706.272,MPI-ESM1-2-LR
Sweden,2083,62.22457761,508.1158099,7337.785023,SSP5-8.5,4691.225,4535.225,2121.225,3228.225,2037.225,MPI-ESM1-2-LR
Germany,2084,33.90556105,396.675293,6579.018129,SSP5-8.5,2515.906,6005.906,3621.906,6193.906,5172.906,MPI-ESM1-2-LR
Spain,2084,7526.421822,105912.8589,1883724.284,SSP5-8.5,1199599.422,211560.422,1323441.422,1755022.422,1758275.422,MPI-ESM1-2-LR
Sweden,2084,73.52460927,678.2416849,8005.145165,SSP5-8.5,596.525,4673.525,1118.525,3243.525,6934.525,MPI-ESM1-2-LR
Germany,2085,33.82075004,417.640182,6336.058482,SSP5-8.5,1112.821,449.821,1894.821,4844.821,915.821,MPI-ESM1-2-LR
Spain,2085,7718.658629,116585.2906,1979608.977,SSP5-8.5,1140492.659,1177132.659,433237.659,637058.659,1596048.659,MPI-ESM1-2-LR
Sweden,2085,74.87957294,680.4476599,8671.72248,SSP5-8.5,5654.88,1107.88,3101.88,4337.88,1370.88,MPI-ESM1-2-LR
Germany,2086,35.02807064,405.9097854,6293.056779,SSP5-8.5,1581.028,5853.028,103.028,2977.028,4991.028,MPI-ESM1-2-LR
Spain,2086,8188.523357,120089.9906,2022434.339,SSP5-8.5,1131105.523,796481.523,1123918.523,1445293.523,1120044.523,MPI-ESM1-2-LR
Sweden,2086,72.53979944,654.4705255,8264.424842,SSP5-8.5,5215.54,4726.54,2211.54,2426.54,8017.54,MPI-ESM1-2-LR
Germany,2087,29.15148614,330.1650198,5529.389702,SSP5-8.5,1930.151,2334.151,3279.151,5472.151,988.151,MPI-ESM1-2-LR
Spain,2087,8534.641786,121764.4119,2149599.006,SSP5-8.5,868537.642,879362.642,876454.642,1969801.642,2128888.642,MPI-ESM1-2-LR
Sweden,2087,52.24332738,451.4674316,5844.911077,SSP5-8.5,4357.243,4760.243,4478.243,3008.243,1927.243,MPI-ESM1-2-LR
Germany,2088,20.40695565,233.319687,3640.49392,SSP5-8.5,2419.407,811.407,835.407,2212.407,2762.407,MPI-ESM1-2-LR
Spain,2088,8589.878761,118605.6714,2179874.509,SSP5-8.5,1837016.879,1969248.879,359625.879,976814.879,56229.879,MPI-ESM1-2-LR
Sweden,2088,43.98474069,405.7265123,6036.460772,SSP5-8.5,4663.985,3858.985,5737.985,4040.985,437.985,MPI-ESM1-2-LR
Germany,2089,38.56499189,509.3580384,8236.222428,SSP5-8.5,4845.565,4685.565,6026.565,5656.565,1039.565,MPI-ESM1-2-LR
Spain,2089,7725.086624,115372.6579,2011507.604,SSP5-8.5,1987295.087,2005182.087,907103.087,698087.087,250832.087,MPI-ESM1-2-LR
Sweden,2089,53.1890139,504.8113168,5783.473412,SSP5-8.5,5334.189,3560.189,1147.189,4156.189,3707.189,MPI-ESM1-2-LR
Germany,2090,40.38385308,494.6516652,8571.909567,SSP5-8.5,2708.384,2111.384,4170.384,3202.384,2800.384,MPI-ESM1-2-LR
Spain,2090,8262.338997,117892.4471,1948984.232,SSP5-8.5,1276314.339,433579.339,179678.339,1482842.339,395975.339,MPI-ESM1-2-LR
Sweden,2090,58.36487776,550.526261,7286.505854,SSP5-8.5,6212.365,6606.365,1640.365,731.365,3447.365,MPI-ESM1-2-LR
Germany,2091,44.32407175,564.939885,8120.074493,SSP5-8.5,5959.324,2622.324,5917.324,4459.324,7291.324,MPI-ESM1-2-LR
Spain,2091,9107.268993,121655.7148,2251285.655,SSP5-8.5,2162236.269,45918.269,2246269.269,213061.269,100237.269,MPI-ESM1-2-LR
Sweden,2091,115.9769389,1031.755204,14799.77465,SSP5-8.5,5958.977,4651.977,6307.977,827.977,10219.977,MPI-ESM1-2-LR
Germany,2092,42.34337121,493.7478909,8136.57677,SSP5-8.5,6547.343,6080.343,1044.343,5116.343,4412.343,MPI-ESM1-2-LR
Spain,2092,9357.36451,152125.6931,3163746.26,SSP5-8.5,1661354.365,1464808.365,1200595.365,3038786.365,2888464.365,MPI-ESM1-2-LR
Sweden,2092,118.7317439,1083.431889,12688.44122,SSP5-8.5,8659.732,10790.732,9953.732,134.732,2596.732,MPI-ESM1-2-LR
Germany,2093,39.88699381,491.4609708,7630.902675,SSP5-8.5,5167.887,5278.887,6258.887,2817.887,3849.887,MPI-ESM1-2-LR
Spain,2093,8885.316027,161964.4465,3324013.78,SSP5-8.5,2343590.316,1802478.316,38713.316,893224.316,1166401.316,MPI-ESM1-2-LR
Sweden,2093,111.5863341,1083.02171,13796.2026,SSP5-8.5,9903.586,3356.586,12898.586,10220.586,7823.586,MPI-ESM1-2-LR
Germany,2094,36.7309424,453.1015381,8928.898734,SSP5-8.5,1066.731,2078.731,2516.731,3159.731,3183.731,MPI-ESM1-2-LR
Spain,2094,11308.71688,174958.6988,2943494.302,SSP5-8.5,2808670.717,916901.717,555952.717,311878.717,2865797.717,MPI-ESM1-2-LR
Sweden,2094,58.75580211,527.1701445,6187.859799,SSP5-8.5,1848.756,4811.756,208.756,3642.756,5043.756,MPI-ESM1-2-LR
Germany,2095,38.1069154,465.5122662,8593.58576,SSP5-8.5,3058.107,4660.107,3563.107,1344.107,952.107,MPI-ESM1-2-LR
Spain,2095,9982.425344,154272.0785,3034942.863,SSP5-8.5,2050623.425,1749840.425,1500908.425,1621394.425,2469139.425,MPI-ESM1-2-LR
Sweden,2095,55.8341935,520.2376649,6059.502011,SSP5-8.5,966.834,5388.834,676.834,5061.834,321.834,MPI-ESM1-2-LR
Germany,2096,37.79414399,473.9687435,8343.915423,SSP5-8.5,2823.794,4547.794,2197.794,2669.794,293.794,MPI-ESM1-2-LR
Spain,2096,10696.75367,159506.081,3088820.937,SSP5-8.5,467048.754,291379.754,446954.754,2681553.754,621020.754,MPI-ESM1-2-LR
Sweden,2096,57.64438754,484.8807043,6874.690081,SSP5-8.5,3577.644,5905.644,3126.644,3804.644,6254.644,MPI-ESM1-2-LR
Germany,2097,30.33689482,377.4497188,5733.5914,SSP5-8.5,2335.337,2571.337,4808.337,1422.337,1029.337,MPI-ESM1-2-LR
Spain,2097,11972.63244,193933.1422,3725531.478,SSP5-8.5,3674138.632,3613432.632,2594964.632,302924.632,622380.632,MPI-ESM1-2-LR
Sweden,2097,50.30971932,440.6208502,5543.50584,SSP5-8.5,571.31,4296.31,4062.31,3066.31,5329.31,MPI-ESM1-2-LR
Germany,2098,20.11023706,254.9464549,3932.923859,SSP5-8.5,2660.11,905.11,36.11,2226.11,1281.11,MPI-ESM1-2-LR
Spain,2098,10554.71367,190086.1511,3969051.927,SSP5-8.5,2317739.714,439500.714,2741455.714,2827700.714,2649810.714,MPI-ESM1-2-LR
Sweden,2098,52.87866292,446.8922142,5942.446032,SSP5-8.5,695.879,3991.879,3175.879,4752.879,2632.879,MPI-ESM1-2-LR
