country,year,size_predicted_lower,size_predicted_median,size_predicted_upper,scenario,area_to_burn.1,area_to_burn.2,area_to_burn.3,area_to_burn.4,area_to_burn.5,model
Spain,2033,4609.128618,52219.94593,808119.1167,SSP1-2.6,312203.129,669814.129,655563.129,740298.129,505063.129,MPI-ESM1-2-LR
Sweden,2033,62.8151745,524.1643371,6306.3012,SSP1-2.6,1949.815,927.815,1783.815,3970.815,2877.815,MPI-ESM1-2-LR
Germany,2034,34.70646295,371.3247885,5720.028461,SSP1-2.6,2041.706,1546.706,3281.706,1603.706,5614.706,MPI-ESM1-2-LR
Spain,2034,4166.215362,54084.02198,876878.5336,SSP1-2.6,364264.215,808395.215,512298.215,671529.215,139892.215,MPI-ESM1-2-LR
Sweden,2034,60.02826871,547.0735369,6570.993148,SSP1-2.6,3047.028,600.028,2189.028,2396.028,1491.028,MPI-ESM1-2-LR
Germany,2035,26.29853038,371.7540906,5703.407687,SSP1-2.6,1285.299,1195.299,4771.299,3419.299,2502.299,MPI-ESM1-2-LR
Spain,2035,3288.193103,39531.23139,637420.4915,SSP1-2.6,354344.193,398056.193,327857.193,78467.193,179251.193,MPI-ESM1-2-LR
Sweden,2035,60.87860286,514.2023656,6034.218797,SSP1-2.6,6005.879,738.879,1497.879,2050.879,3837.879,MPI-ESM1-2-LR
Germany,2036,21.14502069,288.4699368,4536.828184,SSP1-2.6,3485.145,3967.145,927.145,2102.145,2392.145,MPI-ESM1-2-LR
Spain,2036,2707.693285,34461.90983,496704.7458,SSP1-2.6,375275.693,162442.693,464815.693,110967.693,312529.693,MPI-ESM1-2-LR
Sweden,2036,53.16449238,480.7746449,6531.175517,SSP1-2.6,5223.164,1902.164,1975.164,481.164,497.164,MPI-ESM1-2-LR
Germany,2037,19.02717872,225.6646015,3645.793776,SSP1-2.6,1531.027,3229.027,2669.027,1678.027,2658.027,MPI-ESM1-2-LR
Spain,2037,3546.279641,41817.33309,702272.9278,SSP1-2.6,303467.28,359889.28,26263.28,161265.28,67378.28,MPI-ESM1-2-LR
Sweden,2037,47.82748765,410.315736,4817.454149,SSP1-2.6,4487.827,4787.827,3125.827,312.827,2671.827,MPI-ESM1-2-LR
Germany,2038,18.88037081,229.4033562,3967.481822,SSP1-2.6,2670.88,2759.88,2653.88,2079.88,1407.88,MPI-ESM1-2-LR
Spain,2038,4301.484445,52500.94469,851470.1881,SSP1-2.6,64840.484,567570.484,687923.484,290545.484,299168.484,MPI-ESM1-2-LR
Sweden,2038,45.72649042,393.8029387,5175.669665,SSP1-2.6,885.726,2346.726,2197.726,4429.726,454.726,MPI-ESM1-2-LR
Germany,2039,23.87161953,291.915247,4809.5898,SSP1-2.6,997.872,2464.872,4494.872,3733.872,4542.872,MPI-ESM1-2-LR
Spain,2039,4069.408598,52230.09235,858259.7517,SSP1-2.6,709188.409,781174.409,712944.409,299042.409,493074.409,MPI-ESM1-2-LR
Sweden,2039,47.86314085,430.0125169,5816.0936,SSP1-2.6,3753.863,712.863,503.863,5557.863,725.863,MPI-ESM1-2-LR
Germany,2040,23.07282298,295.3275585,4528.707617,SSP1-2.6,1846.073,2061.073,2547.073,350.073,3659.073,MPI-ESM1-2-LR
Spain,2040,4268.729082,51254.68976,895001.6095,SSP1-2.6,872089.729,218950.729,333925.729,120316.729,391962.729,MPI-ESM1-2-LR
Sweden,2040,62.35784025,542.494526,7184.385025,SSP1-2.6,348.358,5856.358,4294.358,4614.358,4758.358,MPI-ESM1-2-LR
Germany,2041,23.38056975,292.776891,4799.475853,SSP1-2.6,4105.381,173.381,97.381,3826.381,3151.381,MPI-ESM1-2-LR
